,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
264,0,0,2,-1,1,5,0
265,2,1,2,-1,1,9,0
266,0,3,2,-1,1,10,0
267,0,2,3,-1,2,9,1
268,0,1,1,-1,0,5,0
269,1,2,2,-1,1,11,1
270,0,0,1,-1,0,2,0
271,1,2,1,-1,0,5,1
272,0,0,2,-1,1,2,1
273,0,4,2,-1,1,10,0
274,2,1,1,-1,0,12,1
275,0,1,2,-3,-1,9,0
276,1,0,1,-1,0,5,0
277,1,3,1,-1,0,8,0
278,0,2,1,-1,0,11,0
279,0,3,1,-1,0,10,0
280,2,2,1,-1,0,8,0
281,0,0,1,-1,0,5,0
282,0,0,3,-3,0,4,0
283,0,1,1,-1,0,1,0
284,0,5,1,-1,0,7,0
285,2,1,1,-2,-1,11,0
286,2,2,2,-4,-2,6,0
287,2,1,2,-1,1,8,0
288,0,0,1,-3,-2,1,0
289,0,0,1,-1,0,1,0
290,0,3,2,-1,1,9,1
291,0,0,2,-1,1,1,0
292,2,0,2,-1,1,10,0
293,0,1,1,-1,0,5,0
294,0,2,2,-1,1,10,1
295,1,2,2,-1,1,9,1
296,2,1,2,-1,1,11,1
297,1,3,2,-2,0,10,1
298,0,1,1,-1,0,2,0
299,2,2,2,-1,1,9,1
300,0,5,1,-1,0,5,0
301,1,2,1,-1,0,10,0
302,2,1,2,-1,1,10,0
303,0,1,1,-4,-3,4,0
304,0,0,2,-1,1,4,0
305,1,3,1,-1,0,9,0
306,0,1,1,-1,0,4,0
307,1,0,1,-1,0,1,0
308,4,1,2,-3,-1,6,0
309,0,1,1,-1,0,2,0
310,0,1,2,-1,1,2,0
311,0,2,2,-4,-2,12,1
312,0,2,3,-1,2,3,0
313,1,3,2,-1,1,10,1
314,1,2,1,-1,0,7,1
315,0,4,2,-1,1,5,0
316,1,0,1,-1,0,11,0
317,2,2,2,-4,-2,10,0
318,0,1,1,-1,0,1,0
319,0,4,1,-1,0,9,0
320,0,2,2,-1,1,3,0
321,0,0,1,-1,0,10,0
322,1,1,1,-1,0,8,0
323,2,1,1,-1,0,8,0
324,1,2,1,-1,0,7,1
325,2,1,2,-1,1,8,0
326,1,1,1,-1,0,0,0
327,1,0,1,-1,0,2,0
328,0,0,3,-1,2,6,0
329,0,1,2,-1,1,8,0
330,0,1,1,-1,0,3,1
331,0,1,3,-1,2,11,1
332,1,1,3,-3,0,5,0
333,0,0,1,-2,-1,1,0
334,0,1,1,-1,0,7,0
335,2,3,1,-4,-3,9,1
336,1,2,2,-1,1,4,0
337,0,0,2,-1,1,1,0
338,2,4,3,-2,1,8,0
339,0,3,1,-3,-2,7,1
340,0,1,1,-1,0,2,0
341,0,6,2,-1,1,8,0
342,1,1,1,-3,-2,3,0
343,0,2,1,-1,0,6,1
344,1,0,1,-1,0,14,0
345,1,1,1,-1,0,11,1
346,0,0,3,-1,2,4,0
347,1,0,1,-1,0,1,0
348,0,2,4,-1,3,7,0
349,0,1,1,-1,0,2,0
350,1,0,1,-1,0,1,0
351,1,1,1,-1,0,10,1
352,1,1,1,-1,0,2,0
353,0,0,1,-1,0,2,1
354,0,1,1,-1,0,6,0
355,1,2,1,-1,0,10,1
356,0,2,1,-4,-3,7,1
357,0,1,1,-1,0,2,1
358,0,3,2,-1,1,11,1
359,0,1,2,-1,1,3,0
360,1,1,1,-1,0,1,0
361,0,0,1,-1,0,0,0
362,2,4,2,-1,1,7,1
363,1,0,2,-1,1,10,0
364,1,3,1,-1,0,11,0
365,1,3,2,-1,1,7,0
366,0,2,1,-1,0,8,0
367,4,3,1,-1,0,9,0
368,0,1,1,-3,-2,5,0
369,0,2,3,-1,2,11,0
370,0,3,4,-1,3,7,0
371,2,2,2,-2,0,7,0
372,1,3,2,-1,1,8,0
373,0,0,1,-1,0,2,0
374,2,3,1,-2,-1,11,0
375,0,1,1,-1,0,3,0
376,0,1,2,-1,1,2,0
377,0,1,1,-1,0,3,0
378,0,4,1,-1,0,9,1
379,1,1,2,-1,1,10,0
380,0,2,3,-1,2,5,0
381,0,1,1,-1,0,3,0
382,3,0,1,-1,0,6,0
383,0,0,1,-1,0,1,0
384,2,0,2,-1,1,10,1
385,0,1,2,-1,1,3,0
386,0,1,2,-1,1,3,0
387,1,0,2,-1,1,7,0
388,0,0,1,-1,0,6,0
389,1,0,3,-1,2,1,0
390,0,0,2,-1,1,9,0
391,0,0,3,-1,2,4,1
392,0,0,1,-1,0,2,0
393,1,2,1,-1,0,8,0
394,0,3,4,-1,3,4,0
395,0,1,1,-1,0,3,0
396,0,2,3,-1,2,3,0
397,0,0,1,-1,0,1,0
398,3,0,1,-1,0,9,0
399,1,1,2,-1,1,9,0
400,0,3,1,-2,-1,3,0
401,0,0,1,-1,0,2,0
402,1,2,1,-1,0,8,0
403,0,2,1,-1,0,8,0
404,0,0,2,-1,1,12,1
405,0,3,3,-1,2,11,1
406,0,1,2,-1,1,4,1
407,0,1,1,-1,0,5,1
408,2,1,1,-1,0,10,0
409,0,1,2,-1,1,2,0
410,1,0,1,-1,0,9,1
411,1,1,1,-1,0,3,0
412,0,4,1,-1,0,9,0
413,0,2,1,-3,-2,10,1
414,0,1,2,-1,1,5,0
415,0,5,2,-1,1,12,1
416,3,0,1,-3,-2,6,1
417,1,0,1,-1,0,7,0
418,0,2,1,-1,0,8,0
419,1,2,2,-1,1,7,0
420,0,3,2,-1,1,6,1
421,0,1,3,-1,2,7,0
422,2,1,1,-1,0,10,0
423,0,1,1,-1,0,3,0
424,0,1,1,-1,0,3,0
425,0,5,2,-4,-2,9,0
426,0,0,2,-1,1,1,1
427,2,4,1,-1,0,8,0
428,0,1,3,-1,2,3,0
429,0,1,2,-4,-2,10,1
430,0,1,1,-1,0,2,0
431,1,3,1,-2,-1,9,1
