,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
249,2,3,1,-1,0,6,1
250,1,2,2,-1,1,5,1
251,0,4,1,-1,0,9,1
252,0,2,1,-1,0,5,0
253,2,1,1,-1,0,6,1
254,0,1,1,-1,0,8,1
255,0,2,2,-1,1,8,1
256,1,1,2,-1,1,10,1
257,2,3,1,-1,0,11,0
258,0,0,3,-1,2,4,1
259,2,3,3,-2,1,10,0
260,0,4,1,-1,0,8,0
261,0,0,1,-1,0,0,1
262,0,1,1,-1,0,7,1
263,1,2,1,-1,0,8,1
264,0,0,2,-1,1,5,1
265,2,1,2,-1,1,9,1
266,0,3,2,-1,1,10,1
267,0,2,3,-1,2,9,0
268,0,1,1,-1,0,5,1
269,1,2,2,-1,1,11,0
270,0,0,1,-1,0,2,1
271,1,2,1,-1,0,5,0
272,0,0,2,-1,1,2,0
273,0,4,2,-1,1,10,1
274,2,1,1,-1,0,12,0
275,0,1,2,-3,-1,9,1
276,1,0,1,-1,0,5,1
277,1,3,1,-1,0,8,1
278,0,2,1,-1,0,11,1
279,0,3,1,-1,0,10,1
280,2,2,1,-1,0,8,1
281,0,0,1,-1,0,5,1
282,0,0,3,-3,0,4,1
283,0,1,1,-1,0,1,1
284,0,5,1,-1,0,7,1
285,2,1,1,-2,-1,11,1
286,2,2,2,-4,-2,6,1
287,2,1,2,-1,1,8,1
288,0,0,1,-3,-2,1,1
289,0,0,1,-1,0,1,1
290,0,3,2,-1,1,9,0
291,0,0,2,-1,1,1,1
292,2,0,2,-1,1,10,1
293,0,1,1,-1,0,5,1
294,0,2,2,-1,1,10,0
295,1,2,2,-1,1,9,0
296,2,1,2,-1,1,11,0
297,1,3,2,-2,0,10,0
298,0,1,1,-1,0,2,1
299,2,2,2,-1,1,9,0
300,0,5,1,-1,0,5,1
301,1,2,1,-1,0,10,1
302,2,1,2,-1,1,10,1
303,0,1,1,-4,-3,4,1
304,0,0,2,-1,1,4,1
305,1,3,1,-1,0,9,1
306,0,1,1,-1,0,4,1
307,1,0,1,-1,0,1,1
308,4,1,2,-3,-1,6,1
309,0,1,1,-1,0,2,1
310,0,1,2,-1,1,2,1
311,0,2,2,-4,-2,12,0
312,0,2,3,-1,2,3,1
313,1,3,2,-1,1,10,0
314,1,2,1,-1,0,7,0
315,0,4,2,-1,1,5,1
316,1,0,1,-1,0,11,1
