,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
295,1,2,1,-1,0,11,1
296,4,0,3,-1,2,14,0
297,1,1,1,-1,0,10,0
298,0,0,1,-1,0,3,0
299,0,1,1,-1,0,1,0
300,1,3,2,-1,1,12,0
301,0,1,2,-1,1,3,1
302,0,0,2,-1,1,5,0
303,0,1,1,-1,0,3,0
304,0,1,2,-2,0,11,1
305,2,1,1,-1,0,5,0
306,2,2,2,-1,1,10,0
307,0,2,1,-1,0,4,1
308,1,1,1,-1,0,10,0
309,1,3,2,-1,1,14,1
310,0,2,2,-1,1,4,0
311,2,3,2,-1,1,5,0
312,0,1,2,-2,0,4,0
313,1,2,1,-1,0,5,0
314,0,3,1,-1,0,6,0
315,0,0,2,-1,1,10,1
316,0,1,2,-1,1,0,0
317,0,3,1,-1,0,5,0
318,0,2,1,-1,0,6,0
319,3,1,3,-2,1,6,0
320,0,4,2,-4,-2,11,1
321,0,1,1,-1,0,1,0
322,0,1,1,-1,0,4,1
323,0,2,1,-1,0,8,0
324,0,1,1,-1,0,11,0
325,1,2,1,-2,-1,9,0
326,0,1,1,-1,0,3,0
327,0,1,2,-1,1,7,0
328,0,0,1,-1,0,1,0
329,2,2,1,-1,0,11,0
330,1,1,1,-1,0,3,0
331,2,0,1,-1,0,3,0
332,0,2,3,-1,2,2,0
333,1,1,1,-1,0,10,0
334,2,0,2,-1,1,8,0
335,0,1,1,-1,0,5,0
336,0,1,3,-1,2,4,0
337,0,0,1,-1,0,0,0
338,0,0,2,-1,1,2,0
339,0,0,2,-1,1,1,0
340,0,1,3,-2,1,12,0
341,0,1,2,-2,0,3,0
342,0,2,1,-1,0,5,0
343,0,3,1,-2,-1,12,1
344,2,1,1,-1,0,5,0
345,0,3,2,-1,1,8,0
346,0,1,2,-1,1,1,0
347,1,2,2,-1,1,5,0
348,0,0,1,-1,0,0,0
349,0,0,1,-1,0,12,0
350,2,2,3,-1,2,13,0
351,0,2,1,-1,0,8,0
352,1,2,1,-1,0,3,0
353,1,1,2,-1,1,11,1
354,1,0,2,-1,1,9,0
355,1,0,1,-1,0,8,0
356,1,0,2,-1,1,9,0
357,1,2,1,-3,-2,5,0
358,5,1,1,-1,0,9,1
359,1,3,2,-1,1,13,0
360,0,3,1,-1,0,10,0
361,0,0,1,-1,0,9,0
