,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
290,0,1,2,-2,0,4,0
291,0,4,2,-1,1,11,1
292,1,3,2,-2,0,14,0
293,1,0,1,-1,0,5,0
294,1,1,1,-1,0,3,1
295,0,0,2,-1,1,6,1
296,1,2,1,-4,-3,10,0
297,0,2,1,-3,-2,7,1
298,1,0,1,-1,0,4,1
299,1,0,2,-1,1,6,0
300,0,1,1,-1,0,2,1
301,0,2,3,-4,-1,3,1
302,2,4,2,-1,1,11,1
303,4,2,1,-1,0,8,1
304,2,0,1,-1,0,5,1
305,0,0,1,-1,0,1,1
306,0,2,1,-1,0,10,1
307,1,1,1,-1,0,5,1
308,1,2,2,-1,1,11,0
309,1,0,1,-1,0,4,1
310,1,1,2,-1,1,11,0
311,0,2,1,-1,0,6,1
312,0,2,1,-1,0,8,0
313,4,0,2,-1,1,12,1
314,0,0,1,-3,-2,3,1
315,1,1,3,-1,2,9,1
316,1,2,1,-1,0,6,1
317,0,0,2,-1,1,2,1
318,0,1,1,-1,0,4,0
319,1,0,1,-1,0,12,1
320,0,1,1,-1,0,9,1
321,2,2,1,-1,0,7,1
322,0,1,1,-1,0,5,1
323,0,2,2,-1,1,11,1
324,1,2,1,-1,0,3,1
325,3,2,1,-1,0,9,0
326,2,3,3,-1,2,11,0
327,0,1,2,-1,1,1,1
328,0,1,1,-1,0,5,1
329,1,3,2,-1,1,10,1
330,0,5,1,-1,0,11,0
331,0,0,1,-1,0,4,1
332,0,3,3,-2,1,6,1
333,0,1,1,-1,0,2,1
334,0,0,2,-1,1,7,1
335,0,0,1,-1,0,2,1
336,2,2,2,-1,1,8,1
337,0,3,1,-1,0,9,0
338,0,0,2,-1,1,4,1
339,1,0,1,-1,0,9,1
340,0,2,2,-1,1,6,1
341,0,1,1,-4,-3,1,1
342,0,1,2,-1,1,7,1
343,0,2,2,-1,1,8,0
344,0,2,1,-1,0,10,0
345,0,2,1,-1,0,1,1
346,1,5,1,-2,-1,10,1
347,2,1,1,-1,0,7,1
348,0,0,1,-1,0,2,0
349,0,2,3,-1,2,11,1
350,1,0,2,-1,1,5,1
351,0,1,2,-1,1,7,0
352,2,2,1,-2,-1,8,1
353,0,4,1,-2,-1,10,1
354,3,2,2,-1,1,6,1
355,4,1,1,-1,0,6,1
356,2,2,1,-1,0,10,0
357,1,2,1,-3,-2,13,1
358,0,3,1,-1,0,9,1
359,1,4,2,-1,1,12,1
360,0,2,2,-1,1,10,0
361,0,3,1,-2,-1,7,1
362,0,1,2,-4,-2,5,1
363,0,3,3,-1,2,8,1
364,4,0,2,-1,1,12,0
365,0,0,1,-1,0,1,1
366,3,0,1,-1,0,9,1
367,0,2,2,-1,1,5,1
368,4,1,1,-1,0,5,1
369,2,2,1,-4,-3,9,1
370,0,1,2,-1,1,8,1
371,0,0,1,-1,0,9,0
372,0,1,2,-1,1,5,0
373,0,4,2,-1,1,6,1
374,1,2,2,-2,0,11,1
375,1,0,1,-1,0,1,1
376,1,2,2,-3,-1,5,0
377,0,1,1,-1,0,1,1
378,1,1,1,-4,-3,10,1
379,1,4,1,-1,0,9,1
380,1,0,3,-1,2,2,1
381,0,3,1,-1,0,4,1
382,2,3,1,-2,-1,10,0
383,0,2,1,-1,0,8,1
384,3,1,3,-1,2,12,1
385,2,3,3,-2,1,11,1
386,0,2,1,-1,0,10,1
387,0,3,1,-1,0,7,1
388,0,0,2,-1,1,3,1
389,0,1,2,-1,1,1,1
390,0,2,1,-1,0,7,0
391,0,0,2,-1,1,11,1
